# Study Name: Ahlam-biopsies
# Study Description: 
# Study Comments: 
# Created By: GUEST
# Last Modified Date/Time: 09-20-2017 13:12:52 CEST
# Number of Experiments in Study: 26
# Instrument Type in the Study: QuantStudio™ 12K Flex Real-Time PCR System
# Barcode: 80004882 80004552 80004551 80004550 80004888 80004887 80004886 80004884 80004885 80004883 80004554 80004553 80004555 80004872 80004870 80004559 80004558 80004557 80004556 80004873 80004871 80004879 80004878 80004877 80004876 80004875 
# Normalization Method: Endogenous Control = [YWHAZ]
# Reference Biological Group: 0
# Max CT: 40.0
# Efficiency: [PYCRL = 100.0%  INADL = 100.0%  YWHAZ = 100.0%  ALDH18A1 = 100.0%  IL8 = 100.0%  PRODH_933 = 100.0%  DUSP8_712 = 100.0%  ABP1-AOC1 = 100.0%  FAM3A = 100.0%  IL15_562 = 100.0%  HPRT1 = 100.0%  GUSB_627 = 100.0%  PYCR1 = 100.0%  LAMB3 = 100.0%  DUSP3 = 100.0%  PYCR2 = 100.0%  DUSP1 = 100.0%  MGAM = 100.0%  GALC = 100.0%  TGM2 = 100.0%  IL15RA = 100.0%  TGFA = 100.0%  IL16_716 = 100.0%  TRAF6 = 100.0%]
# RQ Min/Max Calculation: Confidence Level = 95.0% 

Biological Group Name	Sample Name	Target Name	Amp Score	Cq Conf	Ct	Ct Mean	Adjusted Ct Mean	dCt Mean	dCt SE	RQ	RQ Min	RQ Max	P-Value	Auto Threshold	Threshold	Auto Baseline	Baseline Start	Baseline End	Omit
0	10087	ABP1-AOC1	1.027	0.932	28.194	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10087	ABP1-AOC1	1.042	0.978	27.858	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10061	PYCRL	1.264	0.986	33.224	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	29	
0	10061	PYCRL	1.278	0.989	32.201	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10086	ABP1-AOC1	0.977	0.944	35.403	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	32	
0	10086	ABP1-AOC1	0.966	0.908	35.935	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	33	
0	10062	PYCRL	1.246	0.986	29.116	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10062	PYCRL	1.259	0.976	28.610	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10063	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10063	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10089	ABP1-AOC1	0.981	0.986	25.855	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	22	
0	10089	ABP1-AOC1	0.990	0.976	25.963	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	23	
0	10064	PYCRL	1.265	0.994	28.321	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
0	10064	PYCRL	1.266	0.991	28.321	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
0	10065	PYCRL	1.319	0.984	31.696	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10065	PYCRL	1.307	0.978	33.096	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	29	
0	10066	PYCRL	1.280	0.987	31.641	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10066	PYCRL	1.266	0.976	34.035	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	30	
0	10068	PYCRL	1.258	0.984	32.464	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10068	PYCRL	1.270	0.990	32.050	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10080	ABP1-AOC1	0.974	0.988	24.998	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	22	
0	10080	ABP1-AOC1	0.969	0.984	25.035	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	22	
0	10083	ABP1-AOC1	1.092	0.985	24.458	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	21	
0	10083	ABP1-AOC1	1.094	0.992	24.406	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	21	
0	10085	ABP1-AOC1	1.027	0.984	27.692	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10085	ABP1-AOC1	1.046	0.954	27.830	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10084	ABP1-AOC1	1.016	0.983	27.075	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	24	
0	10084	ABP1-AOC1	1.041	0.989	26.993	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	24	
0	10090	INADL	1.006	0.964	31.947	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	29	
0	10090	INADL	1.018	0.980	31.624	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	28	
0	10091	INADL	1.011	0.988	26.499	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	23	
0	10091	INADL	1.014	0.983	26.546	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	24	
0	10092	INADL	0.974	0.945	33.573	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	30	
0	10092	INADL	0.983	0.970	32.938	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	30	
0	10093	INADL	1.004	0.979	26.026	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	23	
0	10093	INADL	1.010	0.986	26.022	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	23	
0	10094	INADL	0.983	0.979	32.113	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	29	
0	10094	INADL	0.982	0.982	32.334	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	29	
0	10049	PYCRL	1.205	0.993	27.947	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
0	10049	PYCRL	1.248	0.991	27.692	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	23	
0	10099	INADL	1.010	0.967	27.997	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	25	
0	10099	INADL	1.015	0.979	28.018	29.996	29.996	0.505	0.064	1.000	0.915	1.093	1.000	True	0.040	True	3	25	
0	10048	PYCRL	1.272	0.985	33.861	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	30	
0	10048	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10047	PYCRL	1.287	0.992	28.709	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10047	PYCRL	1.308	0.990	28.850	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10056	PYCRL	Undetermined	Undetermined	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	-1	-1	True
0	10056	PYCRL	Undetermined	Undetermined	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	-1	-1	True
0	10058	ABP1-AOC1	1.045	0.987	28.223	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10058	ABP1-AOC1	1.058	0.938	28.198	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10054	PYCRL	1.290	0.966	29.481	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	26	
0	10054	PYCRL	1.280	0.979	29.729	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	26	
0	10055	PYCRL	1.296	0.994	30.960	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	27	
0	10055	PYCRL	1.296	0.989	31.193	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	27	
0	10056	ABP1-AOC1	0.000	0.000	Undetermined	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	39	True
0	10056	ABP1-AOC1	Undetermined	Undetermined	Undetermined	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	-1	-1	True
0	NTC	ALDH18A1	0.000	0.000	Undetermined	27.133	27.133	-2.358	0.069	1.000	0.910	1.099	1.000	True	0.040	True	3	39	True
0	NTC	ALDH18A1	0.000	0.000	Undetermined	27.133	27.133	-2.358	0.069	1.000	0.910	1.099	1.000	True	0.040	True	3	39	True
0	NTC	ALDH18A1	0.000	0.000	Undetermined	27.133	27.133	-2.358	0.069	1.000	0.910	1.099	1.000	True	0.040	True	3	39	True
0	NTC	ALDH18A1	0.000	0.000	Undetermined	27.133	27.133	-2.358	0.069	1.000	0.910	1.099	1.000	True	0.040	True	3	39	True
0	NTC	ALDH18A1	0.000	0.000	Undetermined	27.133	27.133	-2.358	0.069	1.000	0.910	1.099	1.000	True	0.040	True	3	39	True
0	NTC	ALDH18A1	0.000	0.000	Undetermined	27.133	27.133	-2.358	0.069	1.000	0.910	1.099	1.000	True	0.040	True	3	39	True
0	NTC	ALDH18A1	0.000	0.000	Undetermined	27.133	27.133	-2.358	0.069	1.000	0.910	1.099	1.000	True	0.040	True	3	39	True
0	NTC	ALDH18A1	0.000	0.000	Undetermined	27.133	27.133	-2.358	0.069	1.000	0.910	1.099	1.000	True	0.040	True	3	39	True
0	10052	PYCRL	1.229	0.993	28.084	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
0	10052	PYCRL	1.264	0.989	28.525	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
0	10055	ABP1-AOC1	1.025	0.988	32.452	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	29	
0	10055	ABP1-AOC1	1.052	0.921	32.333	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	29	
0	10053	PYCRL	1.290	0.988	31.574	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10053	PYCRL	1.284	0.984	31.982	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10050	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10050	PYCRL	1.263	0.991	30.843	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	27	
0	10054	ABP1-AOC1	1.020	0.976	25.143	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	22	
0	10054	ABP1-AOC1	1.019	0.929	25.217	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	22	
0	10051	PYCRL	1.268	0.983	31.331	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	27	
0	10051	PYCRL	1.280	0.978	32.051	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10053	ABP1-AOC1	1.014	0.972	31.002	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	28	
0	10053	ABP1-AOC1	0.999	0.885	30.982	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	27	
0	10052	ABP1-AOC1	1.018	0.986	26.182	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	23	
0	10052	ABP1-AOC1	1.031	0.938	26.260	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	23	
0	10051	ABP1-AOC1	1.029	0.990	30.440	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	27	
0	10051	ABP1-AOC1	1.044	0.982	30.582	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	27	
0	10050	ABP1-AOC1	1.022	0.987	27.954	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10050	ABP1-AOC1	1.005	0.986	28.094	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10037	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10037	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10036	PYCRL	1.305	0.986	31.893	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10036	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	18	True
0	10039	PYCRL	1.274	0.992	29.616	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	26	
0	10039	PYCRL	1.285	0.990	28.803	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10038	PYCRL	1.211	0.987	32.250	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10038	PYCRL	1.226	0.983	32.257	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10069	ABP1-AOC1	1.014	0.982	28.738	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	26	
0	10069	ABP1-AOC1	1.024	0.989	28.521	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10043	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10043	PYCRL	1.244	0.980	34.411	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	31	
0	10068	ABP1-AOC1	0.255	0.000	Undetermined	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	39	True
0	10068	ABP1-AOC1	1.014	0.990	33.907	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	31	
0	10044	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10044	PYCRL	0.875	0.143	38.874	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	34	True
0	10045	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10045	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10065	ABP1-AOC1	1.119	0.987	30.726	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	28	
0	10065	ABP1-AOC1	1.116	0.927	30.915	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	28	
0	10040	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10040	PYCRL	0.000	0.000	Undetermined	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	39	True
0	10064	ABP1-AOC1	1.012	0.986	23.353	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	20	
0	10064	ABP1-AOC1	1.020	0.991	23.346	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	20	
0	10041	PYCRL	1.269	0.990	32.538	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	29	
0	10041	PYCRL	1.264	0.987	32.298	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	28	
0	10066	ABP1-AOC1	1.006	0.990	30.989	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	28	
0	10066	ABP1-AOC1	1.010	0.975	31.390	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	28	
0	10042	PYCRL	1.256	0.990	29.305	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	26	
0	10042	PYCRL	1.289	0.987	29.510	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	26	
0	10061	ABP1-AOC1	1.045	0.961	33.157	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	30	
0	10061	ABP1-AOC1	1.045	0.984	33.415	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	30	
0	10063	ABP1-AOC1	0.000	0.000	Undetermined	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	39	True
0	10063	ABP1-AOC1	Undetermined	Undetermined	Undetermined	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	-1	-1	True
0	10062	ABP1-AOC1	0.960	0.961	28.828	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10062	ABP1-AOC1	0.984	0.977	28.427	27.602	27.602	-1.889	0.083	1.000	0.892	1.121	1.000	True	0.040	True	3	25	
0	10027	PYCRL	1.280	0.982	29.008	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10027	PYCRL	1.272	0.987	29.385	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	25	
0	10028	PYCRL	1.246	0.988	28.046	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
0	10028	PYCRL	1.276	0.977	28.300	30.129	30.129	0.788	0.104	1.000	0.867	1.154	1.000	True	0.074	True	3	24	
